,index,title,date,hazard,hazard_type,recall_class,audience,distribution,brand,company,product
210,210,TWA Fungi brand King Oyster Mushroom recalled due to Listeria monocytogenes,2022-07-01,Fresh,Fruits and vegetables,,Class 1,Nationally,TWA Fungi,Food - Fruits and vegetables - Fresh,King oyster mushroom
211,211,RemarkaBall brand Crunchy Energy Balls recalled due to undeclared milk,2022-06-30,"Candy, confectionary, snacks and sweeteners",Candy,,Class 1,Alberta,RemarkaBall,"Food - Candy, confectionary, snacks and sweeteners",Crunchy energy balls
213,213,Lao Beijing brand Drinkable Yogurt recalled due to mould,2022-06-28,Quality/Spoilage,Microbial contamination,Class 3,Retail,"British Columbia,Ontario",Lao Beijing,Retail,Drinkable yogurt
215,215,T.A.S. brand Coconut Water recalled due to undeclared milk,2022-06-24,Non-alcoholic,Beverages,,Class 1,"British Columbia, Alberta, Saskatchewan, Manitoba, Ontario,Quebec",T.A.S.,Food - Beverages - Non-alcoholic,Coconut water
216,216,Gelato Artigianale al gusto di Raspberry Gelato recalled due to possible norovirus contamination of raspberries used in product,2022-06-24,Dairy,Dairy,,Class 2,"At Angelo'S Italian Market Inc (London, On)",,Food - Dairy,To possible norovirus contamination of raspberries used in product
217,217,Raaka brand Coconut Milk Unroasted Dark Chocolate 60% Cacao recalled due to undeclared sesame,2022-06-24,Sesame ,Allergen,Class 2,Retail,Nationally,Raaka,Retail,Coconut milk unroasted dark chocolate 60% cacao
218,218,Crave Stevia brand Dark All Natural Chocolate recalled due to undeclared milk,2022-06-23,"Candy, confectionary, snacks and sweeteners",Candy,,Class 1,Nationally,Crave Stevia,"Food - Candy, confectionary, snacks and sweeteners",Dark all natural chocolate
219,219,Master Chocolat Bernard brand Dark Chocolate Chips recalled due to undeclared milk,2022-06-23,Milk,Allergen,Class 2,Retail,"Alberta,Saskatchewan",Master Chocolat Bernard,Retail,Dark chocolate chips
220,220,Various brands of Ginger Cookies and Oatmeal Choc Chip Cookies recalled due to pieces of metal,2022-06-23,Extraneous Material,Extraneous Material,Class 2,Retail,British Columbia,Various,Retail,Of ginger cookies and oatmeal choc chip cookies
221,221,RemarkaBall brand Crunchy Almond Crunchy Energy Balls recalled due to undeclared milk,2022-06-21,Milk,Allergen,Class 2,Retail,Alberta,RemarkaBall,Retail,Crunchy almond crunchy energy balls
222,222,Fresh Prep brand Creamy Basil Pesto Gnocchi recalled due to undeclared wheat,2022-06-21,Gluten,Allergen,Class 3,Retail,British Columbia,Fresh Prep,Retail,Creamy basil pesto gnocchi
223,223,Certain Abbott brand powdered infant formula products recalled due to possible Cronobacter sakazakii and Salmonella,2022-06-19,Salmonella,Microbial contamination,Class 1,General public,"Shoppers Drug Mart Is Recalling Certain Abbott Br Powdered Infant Formula Products From The Marketplace Due To Possible Cronobacter Sakazakii,Salmonella Contamination The Products Were Previously Recalled On February 17, 2022,Some Units Were…",Certain Abbott,Certain Abbott brand powdered infant formula products recalled due to Cronobacter sakazakii and Salmonella,Powdered infant formula products
224,224,Certain Revive Superfoods brand Smoothies and Oats recalled due to possible norovirus contamination of raspberries used in these products,2022-06-18,Norovirus,Microbial contamination,Class 2,General public,Nationally,Certain Revive Superfoods,Alasko brand IQF Whole Raspberries recalled due to norovirus,Smoothies and oats
225,225,Alasko brand IQF Whole Raspberries recalled due to norovirus,2022-06-10,Norovirus,Microbial contamination,Class 1,General public,"Quebec, Ontario, Nova Scotia, Newfoundl,Labrador,Nunavut",Alasko,Certain Revive Superfoods brand Smoothies and Oats recalled due to possible norovirus contamination of raspberries used in these products,Iqf whole raspberries
226,226,"Certain Rico ‘n Lalo brand and Mini Lalo brand frozen bars recalled due to undeclared hazelnut, milk and sulphites",2022-06-08,"Candy, confectionary, snacks and sweeteners",Candy,,Class 1,"The Food Recall Warning Issued On June 1, 2022 Has Been Updated To Include An Additional Undeclared Allergen, Hazelnut This Additional Information Was Identified During The Canadian Food Inspection Agency'S (Cfia) Food Safety Investigation…",Certain Rico ‘n Lalo,"Food - Candy, confectionary, snacks and sweeteners",And mini lalo brand frozen bars
227,227,Baril brand Processed Potatoes recalled due to pieces of metal,2022-06-03,Extraneous Material,Extraneous Material,Class 2,Hotel/Restaurant/Institutional,Quebec,Baril,"Hotels, restaurants and institutions",Processed potatoes
228,228,Certain Tri-Star Seafood Supply Ltd. Spot Prawns recalled due to norovirus,2022-06-02,Norovirus,Microbial contamination,Class 2,General public,Nationally,,Certain Tri-Star Seafood Supply Ltd. brand Live Spot Prawns recalled due to norovirus,To norovirus
229,229,Freshprep brand Crunchy Caesar Salad recalled due to undeclared milk,2022-06-02,Multiple food items,Multiple food items,,Class 2,"Alberta,British Columbia",Freshprep,Food - Multiple food items,Crunchy caesar salad
230,230,Whole raspberries (frozen) recalled due to norovirus,2022-06-01,Frozen,Fruits and vegetables,,Class 2,"At Épicerie Frenette, 625 Rue Principale, Beresford, New Brunswick",,Food - Fruits and vegetables - Frozen,To norovirus
231,231,Certain Tri-Star Seafood Supply Ltd. brand Live Spot Prawns recalled due to norovirus,2022-05-31,Norovirus,Microbial contamination,Class 2,General public,"British Columbia, Alberta, Manitoba,,Ontario…",Certain Tri-Star Seafood Supply Ltd.,Certain Tri-Star Seafood Supply Ltd. Spot Prawns recalled due to norovirus,Live spot prawns
232,232,Certain Sweet Spot Chocolate Shop brand peanut butter-containing chocolates recalled due to Salmonella,2022-05-26,"Candy, confectionary, snacks and sweeteners",Candy,,Class 2,Nova Scotia,Certain Sweet Spot Chocolate Shop,"Food - Candy, confectionary, snacks and sweeteners",Peanut butter-containing chocolates
233,233,Rogers brand Golden Yellow Sugar recalled due to pieces of plastic,2022-05-24,Extraneous Material,Extraneous Material,Class 2,Retail,"Rogers Br Golden Yellow Sugar Recalled Due To Pieces Of Plastic

The Recalled Product Was Distributed In Alberta,British Columbia",Rogers,Retail,Golden yellow sugar
234,234,Certain Jif brand Peanut Butters  recalled due to Salmonella,2022-05-22,Other,Other,,Class 2,Nationally,Certain Jif,Food - Other,Peanut butters 
235,235,Cebu's Dried Fish brand Dried Silver Fish (Bol S Dilis) recalled due to histamine,2022-05-20,Chemical,Chemical,Class 2,Retail,Alberta,Cebu's Dried Fish,Retail,Dried silver fish (bol s dilis)
236,236,Lafleur Original brand Wieners recalled due to texture and appearance issues,2022-05-19,Other,Other,Class 3,Retail,"Manitoba, New Brunswick, Nova Scotia, Ontario,,Quebec",Lafleur Original,Retail,Wieners
237,237,Suzie's brand Organic Cocktail Sauce recalled due to spoilage,2022-05-17,Quality/Spoilage,Microbial contamination,Class 3,Retail,"Alberta,British Columbia",Suzie's,Retail,Organic cocktail sauce
238,238,"Life Savers, Skittles and Starburst brand gummies recalled due to pieces of metal",2022-05-16,Extraneous Material,Extraneous Material,Class 3,Retail,Nationally,"Life Savers, Skittles and Starburst",Retail,Gummies
239,239,Below Zero brand Whole Raspberries IQF recalled due to Norovirus,2022-05-15,Norovirus,Microbial contamination,Class 2,General public,"Alberta, New Brunswick, Nova Scotia, Ontario,,Quebec",Below Zero,Whole raspberries (frozen) recalled due to norovirus,Whole raspberries iqf
240,240,Jumbo brand Melk Chocopasta (Milk Chocolate Spread) recalled due to undeclared hazelnuts,2022-05-13,Tree nut,Allergen,Class 3,Retail,"Alberta, British Columbia,,Manitoba",Jumbo,Retail,Melk chocopasta (milk chocolate spread)
241,241,Tree Brewing Co. brand Golden Larch Grapefruit Radler recalled due to undeclared sulphites,2022-05-13,Alcoholic,Beverages,,Class 1,"Alberta,British Columbia",Tree Brewing Co.,Food - Beverages - Alcoholic,Golden larch grapefruit radler
242,242,GB Foods brand Various Sausage Products recalled due to undeclared gluten and/or wheat,2022-05-13,Gluten,Allergen,Class 2,Hotel/Restaurant/Institutional,British Columbia,GB Foods,"Hotels, restaurants and institutions",Various sausage products
244,244,Various Elite brand products recalled due to Salmonella,2022-05-04,"Candy, confectionary, snacks and sweeteners",Candy,,Class 2,"The Food Recall Warning Issued On April 29, 2022 Has Been Amended To Correctly Identify The Affected Products The Amendments For These Products Are Marked By An Asterisk (*)

Foodfest International 2000 Inc Is Recalling Various Elite Br Products…",Various Elite,"Food - Candy, confectionary, snacks and sweeteners",Products
245,245,"Kerem brand ""Feigen mit Reismehl"" (dried figs) recalled due to ochratoxin A",2022-05-03,Contamination,Chemical,Class 2,Retail,Ontario,Kerem,Retail,"""feigen mit reismehl"" (dried figs)"
248,248,Jumbo brand Puur Chocopasta (Dark Chocolate Spread) recalled due to undeclared hazelnuts,2022-04-29,Tree nut,Allergen,Class 3,Retail,Alberta,Jumbo,Retail,Puur chocopasta (dark chocolate spread)
249,249,Pimlico Confectioners brand Vegan Fine Hazelnut Truffles recalled due to undeclared milk,2022-04-27,"Candy, confectionary, snacks and sweeteners",Candy,,Class 1,Nationally,Pimlico Confectioners,"Food - Candy, confectionary, snacks and sweeteners",Vegan fine hazelnut truffles
251,251,Certain breaded meat products from Toscana Meat Distributors recalled due to undeclared allergens,2022-04-22,Meat and poultry,Meat and poultry,,Class 3,Ontario,,Food - Meat and poultry,To undeclared allergens
252,252,Various brands of bottled water and soda recalled due to mould and yeast,2022-04-22,Non-alcoholic,Beverages,,Class 3,Manitoba,Various,Food - Beverages - Non-alcoholic,Of bottled water and soda
253,253,Certain Pacific Oysters recalled due to norovirus,2022-04-14,Fresh,Fish and seafood,,Class 3,Nationally,,Food - Fish and seafood - Fresh,To norovirus
254,254,Various brands of ice cream products recalled due to pieces of plastic and metal,2022-04-13,Dairy,Dairy,,Class 2,Nationally,Various,Food - Dairy,Of ice cream products
256,256,Intercity Packers Ltd. brand Oyster N/Shell Royal Miyagi Ow recalled due to norovirus,2022-04-12,Fresh,Fish and seafood,,Class 3,"British Columbia,Ontario,May Have Been…",Intercity Packers Ltd.,Food - Fish and seafood - Fresh,Oyster n/shell royal miyagi ow
257,257,Certain Kinder brand chocolate products recalled due to possible Salmonella,2022-04-11,"Candy, confectionary, snacks and sweeteners",Candy,,Class 2,Nationally,Certain Kinder,"Food - Candy, confectionary, snacks and sweeteners",Chocolate products
258,258,Inari brand Organic Blue Poppy Seeds recalled due to Salmonella,2022-04-11,"Nuts, grains, and ",Nuts,,Class 2,"Alberta, British Columbia, Manitoba, Nova Scotia, Ontario, Quebec …",Inari,"Food - Nuts, grains, and seeds",Organic blue poppy seeds
259,259,Sunrise Meat & Sausage Ltd. brand Smokies recalled due to undeclared mustard and soy,2022-04-11,Mustard,Allergen,Class 2,Retail,Ontario,Sunrise Meat & Sausage Ltd.,Retail,Smokies
260,260,"Fresh Market Foods brand Beef Steak Nuggets and ""Pemeal"" Back Bacon Chunks recalled due to undeclared anchovy",2022-04-11,Fish,Allergen,Class 2,Retail,Ontario,Fresh Market Foods,Retail,"Beef steak nuggets and ""pemeal"" back bacon chunks"
261,261,Genesis Food brand Organic Blue Poppy Seeds recalled due to Salmonella,2022-04-11,Salmonella,Microbial contamination,Class 2,Hotel/Restaurant/Institutional,"Alberta, Ontario,Quebec",Genesis Food,"Hotels, restaurants and institutions",Organic blue poppy seeds
262,262,Beyond Meat brand Beyond Burger Plant-Based Burgers recalled due to pieces of wood,2022-04-11,Extraneous Material,Extraneous Material,Class 2,Retail,"Ontario,Quebec",Beyond Meat,Retail,Beyond burger plant-based burgers
263,263,"Verstegen brand ""Mix Voor Nasi & Bami Goreng"" recalled due to Salmonella",2022-04-08,Herbs and spices,Herbs and spices,,Class 2,"From Co-Op Food Store, 4705 49 St, Barrhead, Ab",Verstegen,Food - Herbs and spices,"""mix voor nasi & bami goreng"""
264,264,Certain Union Bay Seafood Ltd. brand Pacific Oysters recalled due to norovirus,2022-04-06,Fresh,Fish and seafood,,Class 3,Nationally,Certain Union Bay Seafood Ltd.,Food - Fish and seafood - Fresh,Pacific oysters
265,265,Co-Op Clearview brand Artesian Water recalled due to possible yeast and mould,2022-04-05,Quality/Spoilage,Microbial contamination,Class 3,Retail,Manitoba,Co-Op Clearview,Retail,Artesian water
266,266,Ming Xiang brand Mushroom (enoki) recalled due to Listeria monocytogenes,2022-04-04,Fresh,Fruits and vegetables,,Class 1,Nationally,Ming Xiang,Food - Fruits and vegetables - Fresh,Mushroom (enoki)
267,267,Certain Daily Fresh Shellfish Inc. brand Oysters recalled due to norovirus,2022-03-31,Fresh,Fish and seafood,,Class 3,"British Columbia, Ontario, Quebec,,,,May…",Certain Daily Fresh Shellfish Inc.,Food - Fish and seafood - Fresh,Oysters
268,268,Pacific Rim Shellfish (2003) Corp brand Oysters recalled due to norovirus,2022-03-27,Fresh,Fish and seafood,,Class 2,"British Columbia, Alberta, Saskatchewan,…",Pacific Rim Shellfish (2003) Corp,Food - Fish and seafood - Fresh,Oysters
269,269,Certain Taylor Shellfish Canada ULC brand Oysters recalled due to norovirus,2022-03-27,Fresh,Fish and seafood,,Class 2,"Alberta, British Columbia, Ontario…",Certain Taylor Shellfish Canada ULC,Food - Fish and seafood - Fresh,Oysters
270,270,Jimel’s Bakery brand baked goods recalled due to possible Salmonella contamination from rodent infestation,2022-03-25,Grain products,Grain products,,Class 2,Manitoba,Jimel’s Bakery,Food - Grain products,Baked goods
271,271,Certain Stellar Bay Shellfish brand Chef Creek Oysters recalled due to norovirus,2022-03-23,Norovirus,Microbial contamination,Class 2,General public,Nationally,Certain Stellar Bay Shellfish,Certain Stellar Bay Shellfish brand Oysters recalled due to norovirus,Chef creek oysters
272,272,Taisun brand Vegetarian Mushroom Jerky (Hot) recalled due to undeclared milk,2022-03-22,Other,Other,,Class 1,"British Columbia, Alberta,,Ontario",Taisun,Food - Other,Vegetarian mushroom jerky (hot)
273,273,Certain Stellar Bay Shellfish brand Oysters recalled due to norovirus,2022-03-20,Fresh,Fish and seafood,,Class 2,Nationally,Certain Stellar Bay Shellfish,Food - Fish and seafood - Fresh,Oysters
274,274,Dam Sen Dried Seafood brand Garlic Roasted Dried Squid recalled due to undeclared sesame,2022-03-18,Sesame ,Allergen,Class 2,Retail,"Alberta, British Columbia,Manitoba",Dam Sen Dried Seafood,Retail,Garlic roasted dried squid
275,275,Golden Medal brand Enoki Mushroom recalled due to Listeria monocytogenes,2022-03-16,Fresh,Fruits and vegetables,,Class 1,"British Columbia,May Have Been…",Golden Medal,Food - Fruits and vegetables - Fresh,Enoki mushroom
276,276,Cavendish Farms brand Classic Hash Brown Patties and no name brand Potato Patties recalled due to undeclared wheat and barley,2022-03-12,Other,Other,,Class 1,In…,Cavendish Farms,Food - Other,Classic hash brown patties and no name brand potato patties
277,277,Taisun brand Vegetarian Mushroom Jerky recalled due to undeclared milk,2022-03-11,Other,Other,,Class 1,"British Columbia, Alberta,,Ontario",Taisun,Food - Other,Vegetarian mushroom jerky
278,278,"Made Chocolates brand 73% Dark Chocolate Bar and QC brand 73% Cacao Dark Chocolate, Extra recalled due to undeclared milk",2022-03-10,"Candy, confectionary, snacks and sweeteners",Candy,,Class 1,Gift…,Made Chocolates,"Food - Candy, confectionary, snacks and sweeteners","73% dark chocolate bar and qc brand 73% cacao dark chocolate, extra"
279,279,Hana brand Frozen Fish Cake recalled due to undeclared egg,2022-03-04,Egg,Allergen,Class 1,Hotel/Restaurant/Institutional,"Alberta, British Columbia,,Manitoba",Hana,"Hotels, restaurants and institutions",Frozen fish cake
280,280,3Fish brand Sauerkraut Fish (Szechuan Style) and Tilapia Soup with Pickled Vegetables recalled due to undeclared milk,2022-02-23,Milk,Allergen,Class 1,General public,"The Food Recall Warning Issued On February 17, 2022 Has Been Updated To Include Additional Distribution Information This Additional Information Was Identified During The Canadian Food Inspection Agency'S Food Safety Investigation

Frobisher…",3Fish,3Fish brand Sauerkraut Fish (Szechuan Style) and Tilapia Soup with Pickled Vegetables recalled due to undeclared milk,Sauerkraut fish (szechuan style) and tilapia soup with pickled vegetables
281,281,Certain Raw BC Oysters recalled due to norovirus,2022-02-18,Fresh,Fish and seafood,,Class 2,British Columbia,,Food - Fish and seafood - Fresh,To norovirus
282,282,Certain Abbott brand powdered infant formula products recalled due to Cronobacter sakazakii and Salmonella,2022-02-17,Salmonella,Microbial contamination,Class 1,General public,Nationally,Certain Abbott,Certain Abbott brand powdered infant formula products recalled due to possible Cronobacter sakazakii and Salmonella,Powdered infant formula products
283,283,Searay brand Sauerkraut Fish (Szechuan Style) Spicy and Sauerkraut Fish (Golden Soup) recalled due to undeclared milk,2022-02-11,Frozen,Fish and seafood,,Class 1,"The Recall Notification Issued On February 4, 2022, Has Been Updated To A Food Recall Warning Due To Additional Information This Additional Information Was Identified During The Canadian Food Inspection Agency'S Food Safety Investigation

Searay Foods…",Searay,Food - Fish and seafood - Frozen,Sauerkraut fish (szechuan style) spicy and sauerkraut fish (golden soup)
284,284,Our Chinese Heart brand Sauerkraut Tilapia (Hot Spicy) and Golden Soup Sauerkraut Fish (Tilapia (Mild Spicy)) recalled due to undeclared milk,2022-02-11,Frozen,Fish and seafood,,Class 1,"Metro Marine Corporation Is Recalling Our Chinese Heart Br Sauerkraut Tilapia (Hot Spicy),Golden Soup Sauerkraut Fish (Tilapia (Mild Spicy)) From The Marketplace Because They May Contain Milk Which Is Not Declared On The Label

The Recalled…",Our Chinese Heart,Food - Fish and seafood - Frozen,Sauerkraut tilapia (hot spicy) and golden soup sauerkraut fish (tilapia (mild spicy))
285,285,Q One Homemade brand Blackrice & Honey Hoddeok Mix recalled due to undeclared peanut,2022-02-11,Other,Other,,Class 2,"Ontario,Quebec",Q One Homemade,Food - Other,Blackrice & honey hoddeok mix
286,286,Yangyuan brand Six Walnut Drinks recalled due to undeclared milk,2022-02-11,Milk,Allergen,Class 2,Retail,British Columbia,Yangyuan,Retail,Six walnut drinks
287,287,Hampton House brand Chicken Nuggets recalled due to Salmonella,2022-02-09,Processed,Meat and poultry,,Class 2,"British Columbia, Alberta, Saskatchewan,Manitoba",Hampton House,Food - Meat and poultry - Processed,Chicken nuggets
288,288,Anhydra brand Organic Dehydrated Bananas recalled due to presence of insects,2022-02-08,Extraneous Material,Extraneous Material,Class 3,Manufacturers,Quebec,Anhydra,Manufacturers,Organic dehydrated bananas
289,289,Hankook (Korean characters only) brand Original Kimchi recalled due to E. coli O157:H7,2022-02-06,E. coli o157:h7,Microbial contamination,,General public,British Columbia,Hankook (Korean characters only),Hankook (Korean characters only) brand Original Kimchi recalled due to E. coli O157:H7,Original kimchi
290,290,PC brand Lemon & Ginger Sicilian Soda recalled due to possible presence of glass,2022-02-03,Non-alcoholic,Beverages,,Class 1,Nationally,PC,Food - Beverages - Non-alcoholic,Lemon & ginger sicilian soda
291,291,JLF Foods Ltd. brand frozen white shrimp recalled due to nitrofurans,2022-02-02,Chemical,Chemical,Class 3,Hotel/Restaurant/Institutional,Jlf Foods Ltd Br Frozen White Shrimp Recalled Due To Nitrofurans,JLF Foods Ltd.,"Hotels, restaurants and institutions",Frozen white shrimp
292,292,President's Choice brand Roasted Cashews with Sea Salt recalled due to off odour and off taste,2022-02-02,Other,Other,Class 3,Retail,Nationally,President's Choice,Retail,Roasted cashews with sea salt
293,293,Fresh Attitude and St-Hubert brand salads recalled due to pieces of plastic,2022-02-01,Extraneous Material,Extraneous Material,Class 2,Retail,"New Brunswick, Newfoundl,Labrador, Nova Scotia, Prince Edward Isl, Ontario,,Quebec",Fresh Attitude and St-Hubert,Retail,Salads
294,294,Various Two Bears brand Oat Milk Products recalled due to undeclared milk,2022-02-01,Non-alcoholic,Beverages,,Class 1,Nationally,Various Two Bears,Food - Beverages - Non-alcoholic,Oat milk products
295,295,Tayeb brand sauces recalled due to pieces of metal,2022-01-27,Extraneous Material,Extraneous Material,Class 2,Retail,"British Columbia, New Brunswick, Ontario,Quebec",Tayeb,Retail,Sauces
296,296,PC Organics brand Old-Fashioned Rolled Oats recalled due to presence of insects,2022-01-26,Extraneous Material,Extraneous Material,Class 3,Retail,Nationally,PC Organics,Retail,Old-fashioned rolled oats
297,297,Miski Organic brand Organic Dried Banana Slices recalled due to presence of insects,2022-01-25,Extraneous Material,Extraneous Material,Class 3,Retail,"Ontario,Quebec",Miski Organic,Retail,Organic dried banana slices
298,298,ZYO brand Dried Banana recalled due to presence of insects,2022-01-25,Extraneous Material,Extraneous Material,Class 3,Retail,"Zyo Br Dried Banana Recalled Due To Presence Of Insects

The Recalled Products Have Been Sold In Quebec",ZYO,Retail,Dried banana
299,299,Certain Quality fast foods brand and Hygaard Fine Foods Ltd. brand sandwiches recalled due to Listeria monocytogenes,2022-01-24,Multiple food items,Multiple food items,,Class 1,Nationally,Certain Quality fast foods,Food - Multiple food items,And hygaard fine foods ltd. brand sandwiches
300,300,Two Bears brand Unsweetened Oat M*lk recalled due to undeclared milk,2022-01-22,Milk,Allergen,Class 1,General public,Nationally,Two Bears,Various Two Bears brand Oat Milk Products recalled due to undeclared milk,Unsweetened oat m*lk
301,301,Shirakiku brand Baked Red Bean Cake recalled due to undeclared milk,2022-01-22,Grain products,Grain products,,Class 1,Nationally,Shirakiku,Food - Grain products,Baked red bean cake
302,302,Searay brand Sauerkraut Fish (Szechuan Style) Spicy recalled due to undeclared milk,2022-01-22,Frozen,Fish and seafood,,Class 1,"Alberta, British Columbia, Manitoba, Nova…",Searay,Food - Fish and seafood - Frozen,Sauerkraut fish (szechuan style) spicy
303,303,Arifoglu brand Black Pepper Ground recalled due to undeclared gluten,2022-01-21,Gluten,Allergen,Class 3,Retail,Ontario,Arifoglu,Retail,Black pepper ground
304,304,Consumption of Evive brand Immunity Super Functional Smoothie may cause cyanide poisoning,2022-01-21,Non-alcoholic,Beverages,,Class 1,Online,Consumption of Evive,Food - Beverages - Non-alcoholic,Consumption of evive
305,305,Mahruse brand Halva with Black Seeds recalled due to Salmonella,2022-01-18,"Candy, confectionary, snacks and sweeteners",Candy,,Class 2,Nationally,Mahruse,"Food - Candy, confectionary, snacks and sweeteners",Halva with black seeds
306,306,Certain Tiger Nuts recalled due to possible Salmonella contamination from rodent infestation,2022-01-17,Other,Other,,Class 2,Manitoba,,Food - Other,To possible salmonella contamination from rodent infestation
307,307,Mahruse brand Tahini Extra Sesame Seed Paste recalled due to Salmonella,2022-01-16,Salmonella,Microbial contamination,Class 2,Warehouse,Ontario,Mahruse,Warehouse,Tahini extra sesame seed paste
308,308,Various Food Products recalled due to possible Salmonella contamination from rodent infestation,2022-01-14,Salmonella,Microbial contamination,Class 2,General public,"Alberta,Ontario,,May Have Been…",,Various Food Products recalled due to possible Salmonella contamination from rodent infestation,To possible salmonella contamination from rodent infestation
309,309,M&M Food Market brand Cauliflower Gratin recalled due to undeclared mustard,2022-01-13,Mustard,Allergen,Class 3,Retail,Nationally,M&M Food Market,Retail,Cauliflower gratin
310,310,Aoun brand Tahineh recalled due to Salmonella,2022-01-11,Salmonella,Microbial contamination,Class 2,General public,Nationally,Aoun,Aoun brand Tahineh recalled due to Salmonella,Tahineh
312,312,"Moncton Fish Market brand ""La"" Stimpson's Surf Clams recalled due to potential presence of dangerous bacteria",2022-01-10,Clostridium botulinum,Microbial contamination,Class 1,General public,Unrefrigerated From The Marketplace Because The Product May Permit The Growth Of Clostridium Botulinum,Moncton Fish Market,Moncton Fish Market brand Bar Clams recalled due to potential presence of dangerous bacteria,"""la"" stimpson's surf clams"
313,313,Nourishment Meals brand Pulled Chicken & Rice Burritos recalled due to Salmonella,2022-01-07,Multiple food items,Multiple food items,,Class 1,British Columbia,Nourishment Meals,Food - Multiple food items,Pulled chicken & rice burritos
314,314,Selection brand Quick Fry Hashbrowns recalled due to pieces of plastic,2022-01-07,Extraneous Material,Extraneous Material,Class 3,Retail,"Quebec,Ontario",Selection,Retail,Quick fry hashbrowns
315,315,Certain Dole and President's Choice brand salad products recalled due to Listeria monocytogenes,2022-01-07,Fresh,Fruits and vegetables,,Class 1,Nationally,Certain Dole and President's Choice,Food - Fruits and vegetables - Fresh,Salad products
316,316,Mahruse brand Tahini Sesame Seed Paste recalled due to Salmonella,2022-01-06,Salmonella,Microbial contamination,Class 2,Hotel/Restaurant/Institutional,Ontario,Mahruse,"Hotels, restaurants and institutions",Tahini sesame seed paste
317,317,Certain Save on Foods brand combo meals recalled due to Salmonella,2021-12-31,Multiple food items,Multiple food items,,Class 1,"British Columbia, Alberta, Saskatchewan, Manitoba,Yukon",Certain Save on Foods,Food - Multiple food items,Combo meals
